lDRB,lEFG,lFTA,lFTP,lMOL,lMOV,lORB,lPOSS,lRPI,lTO,lTOF,l_id,lconfTournWins,ldEff,lname,lnumGamesPlayed,loEff,lwinsVsTourney,wDRB,wEFG,wFTA,wFTP,wMOL,wMOV,wORB,wPOSS,wRPI,wTO,wTOF,w_id,wconfTournWins,wdEff,wname,wnumGamesPlayed,woEff,wwinsVsTourney
24.8,0.594339623,28.06666667,0.613745448,9.658181818,7.331578947,13.16666667,68.56,217,15.23333333,14.33333333,1411_2003,4,102.9030889,TX Southern,30,105.6852495,0,23.17241379,0.560344828,20.93103448,0.766142129,19.10941528,4.722570533,12.27586207,69.09655172,186,16.20689655,12.82758621,1421_2003,2,111.7844081,UNC Asheville,29,101.6605682,0
25.72413793,0.532608696,19.55172414,0.649707795,6.891835718,11.67335592,12.96551724,64.7862069,144,14.06896552,13,1436_2003,3,97.10506879,Vermont,29,104.2043213,0,27.64285714,0.460227273,25,0.70115378,0.68487395,17.58148148,15.17857143,75.32142857,2,14.78571429,16.85714286,1112_2003,1,92.06162506,Arizona,28,111.4105206,10
25.96551724,0.539215686,22.89655172,0.628298899,3.711206897,12.4284127,14.06896552,68.88275862,26,13.79310345,15.06896552,1272_2003,2,93.96091122,Memphis,29,106.379157,4,23.31034483,0.514492754,26.20689655,0.675667474,9.906862061,15.69475187,13.68965517,67.68965517,32,14,15.51724138,1113_2003,1,104.17711,Arizona St,29,114.520186,4
23.18181818,0.591666667,20.03030303,0.689706929,1.078704284,18.18203304,10.87878788,67.95151515,23,13.36363636,17.06060606,1166_2003,3,92.45615129,Creighton,33,113.7402481,5,23.27586207,0.702380952,25.17241379,0.762740584,11.18961353,10.42342141,10.5862069,70.4137931,44,18.24137931,16.06896552,1141_2003,4,103.3801674,C Michigan,29,111.938246,0
22.03333333,0.533898305,20.46666667,0.778147587,6.90283373,17.40351716,9.733333333,65.98666667,53,14.2,14.63333333,1301_2003,2,102.6997356,NC State,30,109.5791116,2,24.37931034,0.526785714,19.51724138,0.688631737,4.549481556,10.31977356,11.24137931,69.46206897,33,14.17241379,14.93103448,1143_2003,1,97.81489161,California,29,104.3819966,4
24.41935484,0.532786885,24.16129032,0.753252918,4.026062913,14.82407655,10.87096774,63.79354839,19,13.74193548,14.48387097,1140_2003,2,97.3555594,BYU,31,110.7880573,5,27.9,0.55,22.1,0.669885942,4.342060585,17.36487967,14.76666667,72.07333333,28,15.8,13.36666667,1163_2003,3,97.4632949,Connecticut,30,109.1578198,5
23.46666667,0.655555556,24.26666667,0.697517353,8.127648008,13.45107089,10.8,67.14,75,16.13333333,12.23333333,1161_2003,3,104.1427907,Colorado St,30,105.8299421,2,23.1,0.598214286,28.06666667,0.695480707,2.47200498,16.94659139,13.76666667,71.82666667,12,14.03333333,17.83333333,1181_2003,3,94.58499033,Duke,30,109.9113677,6
23.39285714,0.481818182,21.53571429,0.685617705,4.576848941,14.78198689,12.14285714,63.75714286,29,10.60714286,13.92857143,1153_2003,0,96.48365766,Cincinnati,28,105.4583753,3,25.32258065,0.537735849,24.64516129,0.717918362,4.047503776,13.87800708,11.93548387,67.92258065,43,14.5483871,14.87096774,1211_2003,1,99.42541843,Gonzaga,31,112.264987,5
23.25806452,0.53,21.09677419,0.66089897,20.96948977,12.83335414,12.16129032,67.34193548,58,15.16129032,15.74193548,1443_2003,3,94.74468775,WKU,31,104.7398694,1,25.4,0.584745763,19.1,0.719997642,1.713321766,19.32836111,9.733333333,66.87333333,18,13.16666667,14.83333333,1228_2003,4,90.17294356,Illinois,30,110.744806,6
22.36666667,0.5,20.23333333,0.707348655,4.118911565,10.29421683,12.63333333,59.62666667,79,12.23333333,12.36666667,1429_2003,4,102.5483111,Utah St,30,112.5074376,3,26.9,0.408333333,24.13333333,0.661631264,5.867986111,23.58170915,14.3,72.55333333,6,14.9,17.3,1242_2003,2,90.29626284,Kansas,30,110.6369323,9
24.31034483,0.697916667,22.13793103,0.701101355,18.17647059,14.12007389,12.06896552,63.44137931,61,13.93103448,15.4137931,1221_2003,3,87.94597577,Holy Cross,29,104.9956159,1,24.07142857,0.62037037,23.60714286,0.778502735,4.381286895,15.30364491,13.10714286,66.15714286,10,13.57142857,12.5,1266_2003,1,103.1610018,Marquette,28,119.6066099,5
22.46666667,0.3828125,19.4,0.69939406,4.621354167,11.37425793,10.83333333,67.29333333,34,12.5,15.9,1356_2003,2,97.5270587,S Illinois,30,106.7057465,3,25.90322581,0.490384615,18.16129032,0.65013963,5.861168051,14.61601189,13.48387097,66.58709677,17,13.61290323,13.19354839,1281_2003,3,96.90190838,Missouri,31,104.4663377,6
23,0.586538462,21.43333333,0.686253291,11.68209836,11.1957284,11.53333333,69.54,45,14.86666667,17.26666667,1454_2003,2,98.30092433,WI Milwaukee,30,108.4896048,2,26.87096774,0.651785714,22.83870968,0.741360453,3.531123411,17.15814498,11.38709677,71.2,14,12.77419355,13.06451613,1323_2003,1,99.4783585,Notre Dame,31,111.94108,5
24.26666667,0.441176471,25.8,0.696708716,17.19892256,7.684375,12.96666667,71.18666667,178,19.46666667,17.4,1354_2003,4,99.71491077,S Carolina St,30,101.8655694,0,24.96666667,0.552083333,18.6,0.714350734,6.35779321,15.39918274,12.13333333,63.64,3,11.8,13.7,1328_2003,3,92.66384389,Oklahoma,30,109.5292643,8
26.35714286,0.601851852,26.32142857,0.657049704,7.386192347,10.63462232,11.53571429,70.70714286,82,18.17857143,15.17857143,1360_2003,2,100.2586752,San Diego,28,104.6416907,2,25.12903226,0.529850746,20.77419355,0.671515607,5.525860582,10.14065197,13.74193548,66.92258065,21,14.32258065,13.06451613,1390_2003,1,102.6680313,Stanford,31,110.7708466,8
23.17241379,0.669811321,22.79310345,0.712953906,5.079505208,9.878534417,13.48275862,63.15172414,13,13.31034483,11.86206897,1173_2003,3,107.8627507,Dayton,29,118.5302152,5,25.80645161,0.518867925,19.38709677,0.729671629,3.504357639,13.71879099,11.16129032,67.9483871,64,14.32258065,14.41935484,1409_2003,4,95.59384087,Tulsa,31,107.7063296,0
22.75862069,0.416666667,25.68965517,0.73396095,3.104166667,8.933004926,10.34482759,65.24137931,41,12.44827586,15.5862069,1451_2003,2,100.4099749,Weber St,29,111.0759166,1,22.55172414,0.5,19.44827586,0.731805888,3.754525862,19.10951291,10.31034483,61.88275862,25,10.51724138,13.96551724,1458_2003,0,91.4986692,Wisconsin,29,110.1579333,5
24.13793103,0.57,20.65517241,0.6735499,2.356586618,16.03583333,11.17241379,64.43448276,27,12.93103448,15.24137931,1386_2003,2,92.47353002,St Joseph's PA,29,110.2279597,2,22.56666667,0.422413793,19.73333333,0.652662691,10.06816058,17.19471558,11.93333333,66.56,36,15.9,15.8,1120_2003,1,95.34538533,Auburn,30,101.5250741,4
